รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ,รูปสินค้า
24198148708,COMPUTER SET MKT- 0133 คอมประกอบ RYZEN5 5600 / RTX 5060 TI 16GB / A520M-K / 32GB DDR4 / M.2 1TB,61.2พัน,0,JIB Official Store,1%,฿611.90,https://shopee.co.th/product/17333589/24198148708,https://s.shopee.co.th/2g9Q83eu5Q,https://down-aka-th.img.susercontent.com/th-11134207-81ztl-mnwpdx4t1afa09.webp
50859806708,VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5060 TI 16G VENTUS 2X OC PLUS - 16GB GDDR7,21.5พัน,1,แอดบอล คอมพิวเตอร์,7%,"฿1,505.00",https://shopee.co.th/product/117467586/50859806708,https://s.shopee.co.th/2qSqKMeGkT,https://down-aka-th.img.susercontent.com/th-11134207-81ztk-mnprn1hwts7672.webp
42730352659,VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5060 TI 16G VENTUS 3X OC - 16GB GDDR7,20.9พัน,1,แอดบอล คอมพิวเตอร์,7%,"฿1,463.00",https://shopee.co.th/product/117467586/42730352659,https://s.shopee.co.th/30mGWfddPW,https://down-aka-th.img.susercontent.com/th-11134207-81ztf-mnfoo3990jk585.webp
51605900125,VGA (การ์ดแสดงผล) GIGABYTE GEFORCE RTX 5060 TI EAGLE OC 16G - 16GB GDDR7,19.9พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿1,393.00",https://shopee.co.th/product/117467586/51605900125,https://s.shopee.co.th/3B5giyd04Z,https://down-aka-th.img.susercontent.com/th-11134207-81ztq-mkdk6q0z2nt486.webp
48702991762,"คอมประกอบ INTEL Core i5-14400F | RTX 5060 / 5060 Ti 8GB, 16GB | DDR5 32GB | NVMe 1TB | CASE, SPEC ปรับได้",47.7พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,2%,฿954.00,https://shopee.co.th/product/1362751893/48702991762,https://s.shopee.co.th/3LP6vHcMjc,https://down-aka-th.img.susercontent.com/th-11134207-81zto-mpxbzgbclzpn2a.webp
47852980749,คอมประกอบ AMD Ryzen 7 7800X3D + RTX 5070 / 5060 Ti 16GB / 8GB / 5060 | DDR5 32GB | NVMe 1TB | AIO LCD | Wi-Fi,53.9พัน,1,บริษัท มังกี้ อีทีซี. จำกัด,2%,"฿1,078.00",https://shopee.co.th/product/1362751893/47852980749,https://s.shopee.co.th/3ViX7abjOf,https://down-aka-th.img.susercontent.com/th-11134207-81ztf-mqbhap7i1laj54.webp
49560971810,คอมประกอบ SPCOMZING AMD RYZEN5 7500F / M.2 / RTX 5060 Ti 8GB / A620M / 16GB DDR5 5200MHz ใหม่ยกเซ็ต,42.8พัน,0,SPCOMZING,4%,"฿1,711.20",https://shopee.co.th/product/102917471/49560971810,https://s.shopee.co.th/3g1xJtb63i,https://down-aka-th.img.susercontent.com/th-11134207-81ztn-moj9c8w3e8zm92.webp
45754038643,VGA (การ์ดแสดงผล) GIGABYTE GEFORCE RTX 5060 TI GAMING OC 16G - 16GB GDDR7,21.6พัน,2,แอดบอล คอมพิวเตอร์,7%,"฿1,511.30",https://shopee.co.th/product/117467586/45754038643,https://s.shopee.co.th/3qLNWCaSil,https://down-aka-th.img.susercontent.com/th-11134207-81zti-miyil7oqnaps69.webp
46160925458,คอมประกอบ SPCOMZING INTEL I5-14400F / M.2 / RTX 5060 Ti 8GB / H610M / 16GB DDR4 3200MHz ใหม่ยกเซ็ต,46.3พัน,0,SPCOMZING,4%,"฿1,851.60",https://shopee.co.th/product/102917471/46160925458,https://s.shopee.co.th/40eniVZpNo,https://down-aka-th.img.susercontent.com/th-11134207-81zto-mohzd5hog4qx25.webp
41580523494,VGA (การ์ดแสดงผล) GIGABYTE GEFORCE RTX 5060 TI WINDFORCE OC 16G - 16GB GDDR7,19.9พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿1,393.00",https://shopee.co.th/product/117467586/41580523494,https://s.shopee.co.th/4AyDuoZC2r,https://down-aka-th.img.susercontent.com/th-11134207-81zte-mnpsc5r864g400.webp
29844714339,VGA (การ์ดแสดงผล) ASUS DUAL GEFORCE RTX 5060 TI 16GB GDDR7 WHITE OC EDITION,20.9พัน,1,แอดบอล คอมพิวเตอร์,7%,"฿1,463.00",https://shopee.co.th/product/117467586/29844714339,https://s.shopee.co.th/4LHe77YYhu,https://down-aka-th.img.susercontent.com/th-11134207-81ztf-mnpsslzp3m6a74.webp
26494713657,VGA (การ์ดแสดงผล) VGA COLORFUL GEFORCE RTX 5060 TI ULTRA W OC - 16GB GDDR7,21.9พัน,1,แอดบอล คอมพิวเตอร์,7%,"฿1,533.00",https://shopee.co.th/product/117467586/26494713657,https://s.shopee.co.th/4Vb4JQXvMx,https://down-aka-th.img.susercontent.com/th-11134207-81ztj-mnqzi6ww96a0b2.webp
54259792762,VGA (การ์ดแสดงผล) ASUS TUF GAMING GEFORCE RTX 5060 TI 16GB GDDR7 OC EDITION,22.9พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿1,603.00",https://shopee.co.th/product/117467586/54259792762,https://s.shopee.co.th/4fuUVjXI20,https://down-aka-th.img.susercontent.com/th-11134207-81ztc-mnpr70r1wrgkc7.webp
42611535956,"คอมประกอบ INTEL ULTRA 5 225F + RTX 5060 / 5060 Ti 8GB 16GB | DDR5 32GB | NVMe 1TB | MB Wi-Fi,Bluetooth | ซิงก์ลม Digital",34.9พัน,3,บริษัท มังกี้ อีทีซี. จำกัด,2%,฿698.00,https://shopee.co.th/product/1362751893/42611535956,https://s.shopee.co.th/4qDui2Weh3,https://down-aka-th.img.susercontent.com/th-11134207-81ztm-mq8unuqkphcdfb.webp
42123140749,คอมประกอบ INTEL Core i5-14400F + RTX 5060 / 5060 Ti 8GB 16GB / 5070 | 32GB DDR5 | M.2 1TB | 600W | CASE ตู้ปลากระจกใส,47.9พัน,7,บริษัท มังกี้ อีทีซี. จำกัด,2%,฿958.00,https://shopee.co.th/product/1362751893/42123140749,https://s.shopee.co.th/50XKuLW1M6,https://down-aka-th.img.susercontent.com/th-11134207-81ztq-mq8pzqp3rpcf21.webp
45110909908,คอมประกอบ SPCOMZING INTEL I5-14400F / M.2 / RTX 5060 Ti 8GB / H610M / 16GB DDR5 6000MHz ใหม่ยกเซ็ต,52.9พัน,0,SPCOMZING,4%,"฿2,116.00",https://shopee.co.th/product/102917471/45110909908,https://s.shopee.co.th/5Aql6eVO19,https://down-aka-th.img.susercontent.com/th-11134207-81ztp-mohyx81pgp3i29.webp
41762613805,VGA (การ์ดแสดงผล) ASUS DUAL GEFORCE RTX 5060 TI 16GB GDDR7 OC EDITION (DUAL-RTX5060TI-O16G),19.8พัน,1,แอดบอล คอมพิวเตอร์,7%,"฿1,385.37",https://shopee.co.th/product/117467586/41762613805,https://s.shopee.co.th/18ex9p3VA,https://down-aka-th.img.susercontent.com/th-11134207-7ra0l-mdd8cgq83azi91.webp
41681120873,คอมประกอบ SPCOMZING AMD RYZEN5 7500F / M.2 / RTX 5060 Ti 16GB / A620M / 32GB DDR5 6000MHz ใหม่ยกเซ็ต,57.2พัน,0,SPCOMZING,4%,"฿2,287.60",https://shopee.co.th/product/102917471/41681120873,https://s.shopee.co.th/BS59SoQAD,https://down-aka-th.img.susercontent.com/th-11134207-81ztm-mokiqc0iycy5e9.webp
51762616374,VGA (การ์ดแสดงผล) ZOTAC GAMING GeForce RTX 5060 Ti 16GB Twin Edge OC White Edition,21.5พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿1,505.00",https://shopee.co.th/product/117467586/51762616374,https://s.shopee.co.th/LlVLlnmpG,https://down-aka-th.img.susercontent.com/th-11134207-81ztd-mps1iybc2i3378.webp
51555933129,VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5060 TI 16G SHADOW 2X OC PLUS - 16GB GDDR7,19.9พัน,2,แอดบอล คอมพิวเตอร์,7%,"฿1,393.00",https://shopee.co.th/product/117467586/51555933129,https://s.shopee.co.th/W4vY4n9UJ,https://down-aka-th.img.susercontent.com/th-11134207-81zth-mkfbpojbpjwi5d.webp
57953413821,"คอมประกอบ INTEL Core Ultra 5 225F + RTX 5070, 5060 Ti 16GB / 8GB, 5060 | DDR5 32GB | Wi-Fi | 1TB NVMe | CASE + AIO LCD",40.9พัน,1,บริษัท มังกี้ อีทีซี. จำกัด,1%,฿409.00,https://shopee.co.th/product/1362751893/57953413821,https://s.shopee.co.th/gOLkNmW9M,https://down-aka-th.img.susercontent.com/th-11134207-81ztj-mq930qt0m6tcea.webp
48356592233,คอมประกอบ Ryzen 7 7800X3D | B850M | DDR5 32GB 6000MHz (16GB x 2) | RTX 5060 Ti 16GB | 1TB NVMe M.2 | 750W 80+ Gold | AIO,78.9พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,฿789.00,https://shopee.co.th/product/1362751893/48356592233,https://s.shopee.co.th/qhlwglsoP,https://down-aka-th.img.susercontent.com/th-11134207-81ztc-mqbs61f8xgy65a.webp
48903022382,คอมประกอบ AMD RYZEN5 7500F + RTX 5060 / 5060 Ti (8 / 16GB) / 5070 | RAM 32GB | SSD 1TB | เคสเลือกได้,36.9พัน,2,บริษัท มังกี้ อีทีซี. จำกัด,2%,฿738.00,https://shopee.co.th/product/1362751893/48903022382,https://s.shopee.co.th/111C8zlFTS,https://down-aka-th.img.susercontent.com/th-11134207-81zth-mqbkwsqscnwse6.webp
43670372691,คอมประกอบ INTEL Core i5-14400F / RTX 5060 Ti 8GB / 16GB | DDR5 32GB | SSD 1TB | น้ำปิด LCD 240 | - monkey etc.,57.9พัน,1,บริษัท มังกี้ อีทีซี. จำกัด,2%,"฿1,158.00",https://shopee.co.th/product/1362751893/43670372691,https://s.shopee.co.th/1BKcLIkc8V,https://down-aka-th.img.susercontent.com/th-11134207-81ztk-mq90sgq9j7yn1f.webp
49161017801,"คอมประกอบ SPCOMZING I5-12400F / M.2 / RTX 5060 Ti / H610M / 16GB DDR4 3200MHz / 22"" 100HZ ใหม่ยกเซ็ต",26.3พัน,0,SPCOMZING,4%,"฿1,051.60",https://shopee.co.th/product/102917471/49161017801,https://s.shopee.co.th/1Le2XbjynY,https://down-aka-th.img.susercontent.com/th-11134207-81ztn-mokml9e43ua5f8.webp
52006575646,คอมประกอบเล่นเกม 1080p / 2K | Ryzen 7 7800X3D + RTX 5060 Ti 16GB | RAM 16GB / SSD 1TB | ชุดน้ำจอ LCD / Wi-Fi / Bluetooth,74.9พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,฿749.00,https://shopee.co.th/product/1362751893/52006575646,https://s.shopee.co.th/1VxSjujLSb,https://down-aka-th.img.susercontent.com/th-11134207-81zto-mpx66kqe86bx8d.webp
14332655865,คอมประกอบ SPCOMZING I3-12100F / M.2 / RTX 5060 Ti / H610M / 32GB DDR4 3200MHz / ใหม่ยกเซ็ต,20.4พัน,37,SPCOMZING,4%,฿816.80,https://shopee.co.th/product/102917471/14332655865,https://s.shopee.co.th/1gGswDii7e,https://down-aka-th.img.susercontent.com/th-11134207-7r98o-lkospxd8lj6i17.webp
29189547873,คอมประกอบ INTEL Core i5-14400F + RTX 5060 Ti 16GB | DDR5 32GB | M.2 1TB NVMe | MB Wi-Fi | CASE & AIO LCD,65.9พัน,2,บริษัท มังกี้ อีทีซี. จำกัด,2%,"฿1,318.00",https://shopee.co.th/product/1362751893/29189547873,https://s.shopee.co.th/1qaJ8Wi4mh,https://down-aka-th.img.susercontent.com/th-11134207-81ztf-mq8y3vluiakua4.webp
28329921517,คอมประกอบ INTEL Core i5-14400F / RTX 5060 Ti 16GB / DDR5 32GB 6000MHz / SSD 1TB / เคส C4 - monkey etc.,63.9พัน,3,บริษัท มังกี้ อีทีซี. จำกัด,2%,"฿1,278.00",https://shopee.co.th/product/1362751893/28329921517,https://s.shopee.co.th/20tjKphRRk,https://down-aka-th.img.susercontent.com/th-11134207-81ztp-mqbt2yn8q51pc7.webp
26433880839,คอมประกอบ INTEL Core i5-14400F / RTX 5060 Ti 16GB / DDR5 32GB / M.2 1TB / (เคส / ชุดน้ำมีจอ LCD),63.9พัน,7,บริษัท มังกี้ อีทีซี. จำกัด,2%,"฿1,278.00",https://shopee.co.th/product/1362751893/26433880839,https://s.shopee.co.th/2BD9X8go6n,https://down-aka-th.img.susercontent.com/th-11134207-81zte-mqbhwn5sdqmn7d.webp
56411473680,คอมประกอบ AI Starter | Intel Core Ultra 5 255F + RTX 5060 Ti 16GB | DDR5 64GB / SSD 1TB | AI Starter / Wi-Fi / Bluetooth,72.9พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,฿729.00,https://shopee.co.th/product/1362751893/56411473680,https://s.shopee.co.th/2LWZjRgAlq,https://down-aka-th.img.susercontent.com/th-11134207-81zto-mpw06rm2n4e89e.webp
54013391291,คอมประกอบเล่นเกม Intel Core Ultra 5 245K + RTX 5060 Ti 16GB White | DDR5 32GB | SSD 1TB | Gaming PC White,69.9พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,฿699.00,https://shopee.co.th/product/1362751893/54013391291,https://s.shopee.co.th/2VpzvkfXQt,https://down-aka-th.img.susercontent.com/th-11134207-81ztg-mq93znf9oopb31.webp
53310906469,คอมประกอบเล่นเกม 1080p / 2K | Ryzen 5 9600X + RTX 5060 Ti 16GB | DDR5 32GB / SSD 1TB | พร้อมใช้ ประกันไทย | รุ่น A,62.9พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,฿629.00,https://shopee.co.th/product/1362751893/53310906469,https://s.shopee.co.th/8AUMgAJxw0,https://down-aka-th.img.susercontent.com/th-11134207-81ztj-mq8zuuokvuhb22.webp
16152670593,คอมประกอบ SPCOMZING I5-12400F / M.2 / RTX 5060 Ti / H610M / 32GB DDR4 3200MHz / ใหม่ยกเซ็ต,22.5พัน,23,SPCOMZING,4%,฿901.60,https://shopee.co.th/product/102917471/16152670593,https://s.shopee.co.th/80AwTrKbGz,https://down-aka-th.img.susercontent.com/th-11134207-7r98o-lkospxd8mxqyd2.webp
47560926389,คอมประกอบเล่นเกม 1080p / 2K | Intel Core i5-14400F + RTX 5060 Ti 16GB | DDR5 32GB / SSD 1TB | ปรับสเปกได้ | รุ่น A,63.9พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,฿639.00,https://shopee.co.th/product/1362751893/47560926389,https://s.shopee.co.th/8V7D4mIhG6,https://down-aka-th.img.susercontent.com/th-11134207-81ztp-mq8shmq91j4c23.webp
46011483433,คอมประกอบ AI Starter | Ryzen 5 7500F + RTX 5060 Ti 16GB | DDR5 64GB / SSD 1TB | AI Starter / ชุดน้ำปิด,73.9พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,฿739.00,https://shopee.co.th/product/1362751893/46011483433,https://s.shopee.co.th/8KnmsTJKb5,https://down-aka-th.img.susercontent.com/th-11134207-81ztg-mpw7eh4ooz5sf1.webp
45610921516,คอมประกอบ i5-14400F RTX 5060 Ti 16GB | DDR5 32GB | SSD 1TB ชุดน้ำ 360mm Gaming PC เล่นเกม 2K / ทำงาน / สตรีม พร้อมใช้งาน,66.9พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,฿669.00,https://shopee.co.th/product/1362751893/45610921516,https://s.shopee.co.th/8pk3TOHQaC,https://down-aka-th.img.susercontent.com/th-11134207-81ztg-mq821wvbmhal27.webp
45360923673,คอมประกอบเล่นเกม 1080p / 2K | Ryzen 5 9600X + RTX 5060 Ti 16GB | DDR5 32GB / SSD 1TB | พร้อมใช้ ประกันไทย | รุ่น B,63.9พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,฿639.00,https://shopee.co.th/product/1362751893/45360923673,https://s.shopee.co.th/8fQdH5I3vB,https://down-aka-th.img.susercontent.com/th-11134207-81ztp-mpx6klwmk5qnb0.webp
49161497738,คอมประกอบ AI Starter | Ryzen 5 7500F + RTX 5060 Ti 16GB | DDR5 64GB / SSD 2TB | AI Starter / ชุดน้ำปิด,77.0พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,฿769.90,https://shopee.co.th/product/1362751893/49161497738,https://s.shopee.co.th/9AMts0G9uI,https://down-aka-th.img.susercontent.com/th-11134207-81zth-mpw7k4c2p0cv76.webp
56960898609,คอมประกอบเล่นเกม 1080p / 2K | Ryzen 7 7800X3D + RTX 5060 Ti 16GB | DDR5 32GB / SSD 1TB | ปรับสเปกได้,69.9พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,฿699.00,https://shopee.co.th/product/1362751893/56960898609,https://s.shopee.co.th/903TfhGnFH,https://down-aka-th.img.susercontent.com/th-11134207-81ztq-mpx6ciggritq13.webp
55661469277,คอมประกอบ AI Starter | Ryzen 7 9700X + RTX 5060 Ti 16GB | DDR5 64GB / SSD 1TB | AI Starter / ชุดน้ำปิด,83.0พัน,0,บริษัท มังกี้ อีทีซี. จำกัด,1%,฿830.00,https://shopee.co.th/product/1362751893/55661469277,https://s.shopee.co.th/9UzkGcEtEO,https://down-aka-th.img.susercontent.com/th-11134207-81ztf-mpw092icaln2bf.webp
40310211511,คอมประกอบ INTEL Core i5-14400F + RTX 5060 Ti 16GB + DDR5 32GB | M.2 1TB | AIO 360mm | CASE เลือกได้ | 750W,63.9พัน,3,บริษัท มังกี้ อีทีซี. จำกัด,2%,"฿1,278.00",https://shopee.co.th/product/1362751893/40310211511,https://s.shopee.co.th/9KgK4JFWZN,https://down-aka-th.img.susercontent.com/th-11134207-81ztj-mqbhpnjmmwhse5.webp
43452065035,คอมประกอบเล่นเกม Intel Core i5-14400F RTX 5060 Ti 16GB DDR5 32GB SSD 1TB ชุดน้ำ 240mm Gaming PC พร้อมใช้งาน แถม WiFi,64.9พัน,4,บริษัท มังกี้ อีทีซี. จำกัด,2%,"฿1,298.00",https://shopee.co.th/product/1362751893/43452065035,https://s.shopee.co.th/9pcafEDcYU,https://down-aka-th.img.susercontent.com/th-11134207-81ztl-mq9sexayt1q9c1.webp
